what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1335098094153
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335098094479
